2025-02-18 14:15:15 | CPU Usage: 17.3% | Memory Usage: 93.6%
2025-02-18 14:15:20 | CPU Usage: 18.5% | Memory Usage: 93.6%
2025-02-18 14:15:25 | CPU Usage: 18.2% | Memory Usage: 95.1%
2025-02-18 14:15:30 | CPU Usage: 18.0% | Memory Usage: 94.9%
2025-02-18 14:15:35 | CPU Usage: 15.5% | Memory Usage: 94.6%
2025-02-18 14:15:40 | CPU Usage: 9.8% | Memory Usage: 94.6%
2025-02-18 14:15:45 | CPU Usage: 7.6% | Memory Usage: 89.6%
2025-02-18 14:15:50 | CPU Usage: 7.7% | Memory Usage: 87.8%
2025-02-18 14:15:55 | CPU Usage: 7.0% | Memory Usage: 86.2%
2025-02-18 14:16:00 | CPU Usage: 7.5% | Memory Usage: 86.8%
2025-02-18 14:16:05 | CPU Usage: 9.7% | Memory Usage: 87.8%
2025-02-18 14:16:10 | CPU Usage: 10.8% | Memory Usage: 88.5%
2025-02-18 14:16:15 | CPU Usage: 8.3% | Memory Usage: 88.6%
2025-02-18 14:16:20 | CPU Usage: 6.3% | Memory Usage: 88.2%
2025-02-18 14:16:25 | CPU Usage: 6.2% | Memory Usage: 88.6%
2025-02-18 14:16:30 | CPU Usage: 6.7% | Memory Usage: 88.4%
2025-02-18 14:16:35 | CPU Usage: 6.2% | Memory Usage: 88.4%
2025-02-18 14:16:40 | CPU Usage: 6.1% | Memory Usage: 88.4%
2025-02-18 14:16:45 | CPU Usage: 6.2% | Memory Usage: 87.6%
2025-02-18 14:16:50 | CPU Usage: 4.6% | Memory Usage: 87.0%
2025-02-18 14:16:55 | CPU Usage: 5.7% | Memory Usage: 88.0%
2025-02-18 14:17:00 | CPU Usage: 7.5% | Memory Usage: 88.3%
2025-02-18 14:17:05 | CPU Usage: 7.4% | Memory Usage: 88.9%
2025-02-18 14:17:10 | CPU Usage: 7.2% | Memory Usage: 88.7%
2025-02-18 14:17:15 | CPU Usage: 6.6% | Memory Usage: 87.7%
2025-02-18 14:17:20 | CPU Usage: 5.9% | Memory Usage: 86.8%
2025-02-18 14:17:25 | CPU Usage: 4.3% | Memory Usage: 86.8%
2025-02-18 14:17:30 | CPU Usage: 4.6% | Memory Usage: 86.4%
2025-02-18 14:17:35 | CPU Usage: 5.0% | Memory Usage: 86.5%
2025-02-18 14:17:40 | CPU Usage: 3.7% | Memory Usage: 86.7%
2025-02-18 14:17:45 | CPU Usage: 4.2% | Memory Usage: 87.5%
2025-02-18 14:17:50 | CPU Usage: 5.1% | Memory Usage: 87.5%
2025-02-18 14:17:55 | CPU Usage: 6.4% | Memory Usage: 87.8%
2025-02-18 14:18:00 | CPU Usage: 7.0% | Memory Usage: 88.5%
2025-02-18 14:18:05 | CPU Usage: 5.8% | Memory Usage: 88.3%
2025-02-18 14:18:10 | CPU Usage: 6.0% | Memory Usage: 88.4%
2025-02-18 14:18:15 | CPU Usage: 6.9% | Memory Usage: 88.3%
2025-02-18 14:18:20 | CPU Usage: 6.7% | Memory Usage: 88.3%
2025-02-18 14:18:26 | CPU Usage: 6.7% | Memory Usage: 88.3%
2025-02-18 14:18:30 | CPU Usage: 7.2% | Memory Usage: 92.0%
2025-02-18 14:18:36 | CPU Usage: 9.0% | Memory Usage: 92.1%
2025-02-18 14:18:40 | CPU Usage: 9.6% | Memory Usage: 91.8%
2025-02-18 14:18:46 | CPU Usage: 7.7% | Memory Usage: 91.7%
2025-02-18 14:18:50 | CPU Usage: 7.2% | Memory Usage: 92.6%
2025-02-18 14:18:56 | CPU Usage: 8.4% | Memory Usage: 92.8%
2025-02-18 14:19:00 | CPU Usage: 8.0% | Memory Usage: 92.5%
2025-02-18 14:19:06 | CPU Usage: 7.2% | Memory Usage: 92.6%
2025-02-18 14:19:10 | CPU Usage: 7.2% | Memory Usage: 92.7%
2025-02-18 14:19:16 | CPU Usage: 7.1% | Memory Usage: 92.6%
2025-02-18 14:19:20 | CPU Usage: 7.0% | Memory Usage: 92.7%
2025-02-18 14:19:26 | CPU Usage: 6.2% | Memory Usage: 92.9%
2025-02-18 14:19:30 | CPU Usage: 6.5% | Memory Usage: 90.0%
2025-02-18 14:19:36 | CPU Usage: 6.3% | Memory Usage: 90.2%
2025-02-18 14:19:40 | CPU Usage: 5.4% | Memory Usage: 90.2%
2025-02-18 14:19:46 | CPU Usage: 6.0% | Memory Usage: 90.3%
2025-02-18 14:19:50 | CPU Usage: 6.5% | Memory Usage: 90.6%
2025-02-18 14:19:56 | CPU Usage: 6.4% | Memory Usage: 90.6%
2025-02-18 14:20:00 | CPU Usage: 6.4% | Memory Usage: 90.7%
