Group,Tag1 NodeId,Tag1 Name,Tag1 Value,Tag2 NodeId,Tag2 Name,Tag2 Value,Timestamp,Scan Rate (s),CPU (%),Memory (%)
4,ns=2;s=Channel2.RX3i.A103,A103,,ns=2;s=Channel2.RX3i.A104,A104,,49:51.7,2.564,0,93.3
5,ns=2;s=Channel2.RX3i.A105,A105,,ns=2;s=Channel2.RX3i.A106,A106,,49:51.7,2.564,0,93.4
6,ns=2;s=Channel2.RX3i.A107,A107,,ns=2;s=Channel2.RX3i.A108,A108,,13-02-2025 14:49:51.749,2.564,0,93.4
7,ns=2;s=Channel2.RX3i.A109,A109,,ns=2;s=Channel2.RX3i.A11,A11,,49:51.7,2.564,0,93.4
8,ns=2;s=Channel2.RX3i.A110,A110,,ns=2;s=Channel2.RX3i.A111,A111,,49:51.7,2.564,0,93.4
9,ns=2;s=Channel2.RX3i.A112,A112,,ns=2;s=Channel2.RX3i.A113,A113,,49:51.7,2.564,0,93.4
10,ns=2;s=Channel2.RX3i.A114,A114,,ns=2;s=Channel2.RX3i.A115,A115,,49:51.7,2.564,0,93.4
11,ns=2;s=Channel2.RX3i.A116,A116,,ns=2;s=Channel2.RX3i.A117,A117,,49:51.7,2.564,0,93.4
12,ns=2;s=Channel2.RX3i.A118,A118,,ns=2;s=Channel2.RX3i.A119,A119,,49:51.7,2.564,0,93.4
13,ns=2;s=Channel2.RX3i.A12,A12,,ns=2;s=Channel2.RX3i.A120,A120,,49:51.7,2.564,0,93.4
14,ns=2;s=Channel2.RX3i.A121,A121,,ns=2;s=Channel2.RX3i.A122,A122,,49:51.7,2.564,0,93.4
15,ns=2;s=Channel2.RX3i.A123,A123,,ns=2;s=Channel2.RX3i.A124,A124,,49:51.7,2.564,0,93.4
16,ns=2;s=Channel2.RX3i.A125,A125,,ns=2;s=Channel2.RX3i.A126,A126,,49:51.7,2.564,100,93.4
17,ns=2;s=Channel2.RX3i.A127,A127,,ns=2;s=Channel2.RX3i.A128,A128,,49:51.7,2.564,0,93.4
18,ns=2;s=Channel2.RX3i.A129,A129,,ns=2;s=Channel2.RX3i.A13,A13,,49:51.7,2.564,0,93.4
19,ns=2;s=Channel2.RX3i.A130,A130,,ns=2;s=Channel2.RX3i.A131,A131,,49:51.7,2.564,0,93.4
20,ns=2;s=Channel2.RX3i.A132,A132,,ns=2;s=Channel2.RX3i.A133,A133,,49:51.7,2.564,0,93.4
21,ns=2;s=Channel2.RX3i.A134,A134,,ns=2;s=Channel2.RX3i.A135,A135,,49:51.7,2.564,0,93.4
22,ns=2;s=Channel2.RX3i.A136,A136,,ns=2;s=Channel2.RX3i.A137,A137,,49:51.7,2.564,0,93.4
23,ns=2;s=Channel2.RX3i.A138,A138,,ns=2;s=Channel2.RX3i.A139,A139,,49:51.7,2.564,0,93.5
